Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval_1,Reburn_Interval_2,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,All,25,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,2.3275862068965516,12.25992,802.3408719083615,313.77777777777777,1.6108706477098166e-7,0.014840113773286149,202.5,1825.4577029432892,0.1109310830229031
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Any,25,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,35.2434375,656.5772635863059,689.7918117978322,96.45412709812997,209.7680219662409,0.4564937323151377,1127.79,1825.4577029432892,0.6178121783822217
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Fire_a,25,8,CA4189812322019870830,1987,Klamath Mountains,Pacific Northwest,Low,2,14.908695652173913,131.89098425196852,559.0450969316128,146.98162729658793,58.223693637353115,0.13075076985632847,685.8,1825.4577029432892,0.37568660117089847
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Fire_b,25,8,CA4188812325320120805,2012,Klamath Mountains,Pacific Northwest,Low,2,26.99470588235294,252.185595214748,595.4238435081768,125.90704059619534,115.4634514776909,0.21037463611499,917.8199999999999,1825.4577029432892,0.5027889709633625
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Fire_c,25,8,CA4190412319120200909,2020,Klamath Mountains,Pacific Northwest,Low,2,8.188448275862068,120.42864695849914,591.8338809666717,182.9322215905502,21.944449124800766,0.12360187783929692,474.93,1825.4577029432892,0.2601703667163821
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Any,10,12,NA,NA,Idaho Batholith,Northern Rockies,Low,2,1.3552941176470588,4.4708203125,794.919114233207,375,0,0.008006390667847392,46.08,1000.4508063998304,0.04605923620154904
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Fire_a,10,12,ID4552311499419900707,1990,Idaho Batholith,Northern Rockies,Low,2,1.2041379310344829,4.074123711340206,828.4799933887156,414.0893470790378,0,0.00764655288502279,34.92,1000.4508063998304,0.034904264933986386
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Fire_b,10,12,ID4551811500220000731,2000,Idaho Batholith,Northern Rockies,Low,2,3.12,7.025192307692308,663.099696807562,230.7692307692308,0,0.008006390667847392,9.36,1000.4508063998304,0.009355782353439649
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Fire_c,10,12,ID4542411459020120730,2012,Idaho Batholith,Northern Rockies,Low,2,1.8,1.8,366.6666666666667,366.6666666666667,0,0.0017991889141230095,1.8,1000.4508063998304,0.0017991889141230095
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,All,10,12,NA,NA,Idaho Batholith,Northern Rockies,Low,2,NA,NA,NA,NA,0,NA,0,1000.4508063998304,0
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Any,9,13,NA,NA,Idaho Batholith,Northern Rockies,Low,2,5.0916,40.32273627150601,734.1349628629326,208.50027496268362,4.939079680524311,0.04052078918767198,381.87,1636.9375160190662,0.23328318659876826
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Fire_a,9,13,ID4512611554919850708,1985,Idaho Batholith,Northern Rockies,Low,2,5.642608695652174,40.85095006934813,681.0653257948908,211.74294960702727,1.748290419510204,0.040740712059789595,259.56,1636.9375160190662,0.15856439079680595
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Fire_b,9,13,ID4521611552119940811,1994,Idaho Batholith,Northern Rockies,Low,2,2.615625,24.91045161290322,672.5718775808041,238.70967741935482,2.7617472896892576,0.025291130293526608,83.7,1636.9375160190662,0.05113206776734727
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Fire_c,9,13,ID4510511570820070706,2007,Idaho Batholith,Northern Rockies,Low,2,2.661923076923077,7.997126137841353,597.1671028779562,332.03294321629824,0,0.008961857038793123,69.21,1636.9375160190662,0.04228017216461295
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,All,9,13,NA,NA,Idaho Batholith,Northern Rockies,Low,2,NA,NA,NA,NA,0,NA,0,1636.9375160190662,0
CA4163812338919870830_CA4154112338120080722_CA4159712349220170725,1,All,21,9,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,0.30375,0.6033333333333333,1010.5947293447294,728.395061728395,0,8.699512430031987e-4,4.86,1344.90295796462,0.003613643624782518
CA4163812338919870830_CA4154112338120080722_CA4159712349220170725,1,Any,21,9,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,7.89375,159.0030641330166,606.1189805804285,151.54394299287412,51.323107714027856,0.1787415207739649,378.9,1344.90295796462,0.28173036408026664
CA4163812338919870830_CA4154112338120080722_CA4159712349220170725,1,Fire_a,21,9,CA4163812338919870830,1987,Klamath Mountains,Pacific Northwest,Low,2,3.226153846153846,9.743562231759658,628.9539699767746,277.53934191702433,0,0.011777801443735613,41.94,1344.90295796462,0.03118440609534543
CA4163812338919870830_CA4154112338120080722_CA4159712349220170725,1,Fire_b,21,9,CA4154112338120080722,2008,Klamath Mountains,Pacific Northwest,Low,2,9.545625,102.28322333529758,521.9810888463427,150.46159890001965,35.00191286133402,0.1260090915826941,305.46,1344.90295796462,0.22712419375021972
CA4163812338919870830_CA4154112338120080722_CA4159712349220170725,1,Fire_c,21,9,CA4159712349220170725,2017,Klamath Mountains,Pacific Northwest,Low,2,4.712307692307692,36.68050930460333,609.3849049448365,209.27195559908589,1.184379953287053,0.05326778380234971,183.78,1344.90295796462,0.13664926447788706
OR4236212395219870830_OR4244112390420020713_OR4229712395420170712,1,All,15,15,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,7.72304932735426,150.9318248327759,676.9676726183643,162.13768115942028,166.41507927301325,0.030511763756270113,1722.24,12241.180253738901,0.14069231596144213
OR4236212395219870830_OR4244112390420020713_OR4229712395420170712,1,Any,15,15,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,32.576985645933014,1892.6328893206964,660.0056643799987,79.95488052592387,2408.7711526364174,0.2636216388541738,6808.59,12241.180253738901,0.5562037204639977
OR4236212395219870830_OR4244112390420020713_OR4229712395420170712,1,Fire_a,15,15,OR4236212395219870830,1987,Klamath Mountains,Pacific Northwest,Low,2,22.48634831460674,850.4520403390821,530.1756919970867,97.58730015964741,1108.3822928765408,0.1294066394877374,4002.57,12241.180253738901,0.32697582398375924
OR4236212395219870830_OR4244112390420020713_OR4229712395420170712,1,Fire_b,15,15,OR4244112390420020713,2002,Klamath Mountains,Pacific Northwest,Low,2,17.26938679245283,381.39047936281617,540.8138232346488,113.26073240082926,798.0751519610278,0.07341939105303937,3661.11,12241.180253738901,0.29908145490152094
OR4236212395219870830_OR4244112390420020713_OR4229712395420170712,1,Fire_c,15,15,OR4229712395420170712,2017,Klamath Mountains,Pacific Northwest,Low,2,23.285696202531646,459.26098517588343,547.9255506753375,101.95860989252924,1375.806036589714,0.08633726308189878,5518.71,12241.180253738901,0.4508315281375246
OR4236212395219870830_OR4244112390420020713_OR4237012386020180716,1,All,15,16,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,4.767163865546219,89.93419466148416,714.3865262424904,208.01438411401526,84.6770583116443,0.011523798964276839,2269.17,21446.0527093644,0.10580828233296138
OR4236212395219870830_OR4244112390420020713_OR4237012386020180716,1,Any,15,16,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,24.422156862745098,3410.455262016973,617.0038912708249,84.96516877687945,3759.168473015005,0.28096079412175323,11209.77,21446.0527093644,0.5226961880544695
OR4236212395219870830_OR4244112390420020713_OR4237012386020180716,1,Fire_a,15,16,OR4236212395219870830,1987,Klamath Mountains,Pacific Northwest,Low,2,11.033953488372093,176.49315263668169,522.9917925429563,134.62322078433024,677.5922153892736,0.01949729424181726,4270.14,21446.0527093644,0.1991107668095699
OR4236212395219870830_OR4244112390420020713_OR4237012386020180716,1,Fire_b,15,16,OR4244112390420020713,2002,Klamath Mountains,Pacific Northwest,Low,2,18.5688,1700.2523742372607,580.3844106634372,100.80746651428882,2355.723835967601,0.1735326332745126,8820.18,21446.0527093644,0.4112728864155349
OR4236212395219870830_OR4244112390420020713_OR4237012386020180716,1,Fire_c,15,16,OR4237012386020180716,2018,Klamath Mountains,Pacific Northwest,Low,2,18.821599045346062,757.1463067617689,542.7129763928727,111.01854493580599,1755.5051643108768,0.0915399223626259,7886.25,21446.0527093644,0.3677250124707786
ID4557911514619880813_ID4551811500220000731_ID4555411513220170715,1,All,12,17,NA,NA,Idaho Batholith,Northern Rockies,Low,2,0.99,0.99,484.8484848484849,484.8484848484849,0,4.749762362666177e-4,0.99,2084.314802318415,4.749762362666177e-4
ID4557911514619880813_ID4551811500220000731_ID4555411513220170715,1,Any,12,17,NA,NA,Idaho Batholith,Northern Rockies,Low,2,2.291478260869565,57.80108606557378,816.5696975232149,247.72313296903462,42.68438274885304,0.05647899245788509,263.52,2084.314802318415,0.12643003816260515
ID4557911514619880813_ID4551811500220000731_ID4555411513220170715,1,Fire_a,12,17,ID4557911514619880813,1988,Idaho Batholith,Northern Rockies,Low,2,5.9430000000000005,68.9160575466936,680.9525913706915,181.05334006394077,30.79307136350088,0.05116789454326746,178.29,2084.314802318415,0.0855389021858336
ID4557911514619880813_ID4551811500220000731_ID4555411513220170715,1,Fire_b,12,17,ID4551811500220000731,2000,Idaho Batholith,Northern Rockies,Low,2,2.304,16.92361607142857,713.3557169940665,248.51190476190476,5.58319676460973,0.01606283271738016,80.64,2084.314802318415,0.03868897342680813
ID4557911514619880813_ID4551811500220000731_ID4555411513220170715,1,Fire_c,12,17,ID4555411513220170715,2017,Idaho Batholith,Northern Rockies,Low,2,0.8362025316455697,2.671798365122616,807.7613226136433,477.74750227066306,0,0.0031952946803390646,66.06,2084.314802318415,0.03169386885633613
OR4487312131019960810_OR4504212118420100818_OR4499312125220140713,1,All,14,4,NA,NA,Blue Mountains,Pacific Northwest,Low,2,0.36,0.36,833.3333333333334,833.3333333333334,0,7.469283872818353e-5,0.36,4819.739162814316,7.469283872818353e-5
OR4487312131019960810_OR4504212118420100818_OR4499312125220140713,1,Any,14,4,NA,NA,Blue Mountains,Pacific Northwest,Low,2,4.384615384615385,81.17156842105263,690.1064288732953,206.49122807017542,6.061244572702349,0.033294332863087805,342,4819.739162814316,0.07095819679177436
OR4487312131019960810_OR4504212118420100818_OR4499312125220140713,1,Fire_a,14,4,OR4487312131019960810,1996,Blue Mountains,Pacific Northwest,Low,2,2.8918421052631578,6.9562407862407865,507.8349946227981,275.7302757302757,4.696222669488634e-4,0.003043733178173479,109.89,4819.739162814316,0.022799989021778024
OR4487312131019960810_OR4504212118420100818_OR4499312125220140713,1,Fire_b,14,4,OR4504212118420100818,2010,Blue Mountains,Pacific Northwest,Low,2,2.1795652173913043,16.231184919210055,761.8734042466332,278.8749251944943,0,0.00507911303351648,50.13,4819.739162814316,0.010400977792899557
OR4487312131019960810_OR4504212118420100818_OR4499312125220140713,1,Fire_c,14,4,OR4499312125220140713,2014,Blue Mountains,Pacific Northwest,Low,2,5.105853658536585,82.185709372312985,683.7622720623776,186.29979936944684,5.847112936368227,0.026740036264689702,209.34,4819.739162814316,0.04343388572043872
OR4335612252819960813_OR4334712249520080817_OR4330612262220170812,1,All,12,9,NA,NA,Cascades,Pacific Northwest,Mixed,2,0.09,0.09,1333.3333333333335,1333.3333333333335,0,8.090862728856845e-5,0.09,1112.3659245757103,8.090862728856845e-5
OR4335612252819960813_OR4334712249520080817_OR4330612262220170812,1,Any,12,9,NA,NA,Cascades,Pacific Northwest,Mixed,2,33.8025,602.969767029066,719.6068299141251,66.63708305598699,348.125348641601,0.6256664148225,811.26,1112.3659245757103,0.729310366379156
OR4335612252819960813_OR4334712249520080817_OR4330612262220170812,1,Fire_a,12,9,OR4335612252819960813,1996,Cascades,Pacific Northwest,Mixed,2,53.10642857142857,595.4739365694226,707.349080265038,64.5603841342856,330.5369801953754,0.5967011262531924,743.49,1112.3659245757103,0.6683861700308641
OR4335612252819960813_OR4334712249520080817_OR4330612262220170812,1,Fire_b,12,9,OR4334712249520080817,2008,Cascades,Pacific Northwest,Mixed,2,2.52375,14.338350668647845,619.3582883481919,285.28974739970283,0.06590651616500691,0.024515314068436243,60.57,1112.3659245757103,0.054451506165206574
OR4335612252819960813_OR4334712249520080817_OR4330612262220170812,1,Fire_c,12,9,OR4330612262220170812,2017,Cascades,Pacific Northwest,Mixed,2,3.2142857142857144,16.05528,562.3936483319587,267.33333333333337,0,0.023301684659107716,90,1112.3659245757103,0.08090862728856846
ID4537911512519990802_ID4540111516420000731_ID4549011522720170729,1,All,1,17,NA,NA,Idaho Batholith,Northern Rockies,Low,2,2.16,19.84808823529412,828.4961226137697,328.4313725490196,0,0.015590454398663358,36.72,1714.5106432748803,0.021417189880992088
ID4537911512519990802_ID4540111516420000731_ID4549011522720170729,1,Any,1,17,NA,NA,Idaho Batholith,Northern Rockies,Low,2,4.225161290322581,39.23451672010994,608.7465186819403,212.5515345854329,32.08336297133415,0.05223064689114491,392.94,1714.5106432748803,0.2291849289715967
ID4537911512519990802_ID4540111516420000731_ID4549011522720170729,1,Fire_a,1,17,ID4537911512519990802,1999,Idaho Batholith,Northern Rockies,Low,2,6.586363636363637,44.812285714285714,574.1831002051562,173.08488612836436,5.392480437543534,0.03296567462074272,72.45,1714.5106432748803,0.04225695552499664
ID4537911512519990802_ID4540111516420000731_ID4549011522720170729,1,Fire_b,1,17,ID4540111516420000731,2000,Idaho Batholith,Northern Rockies,Low,2,4.2325,22.576709982279976,513.2241529605569,229.17897223862965,0.9017367435760032,0.031180908797326715,152.37,1714.5106432748803,0.08887083938362648
ID4537911512519990802_ID4540111516420000731_ID4549011522720170729,1,Fire_c,1,17,ID4549011522720170729,2017,Idaho Batholith,Northern Rockies,Low,2,3.6020454545454546,32.172674616695055,615.8847310581751,243.42229793677834,21.250977655132314,0.04724380120807078,316.98,1714.5106432748803,0.184880742060917
CA4104812343519990823_CA4107312329420080621_CA4119412345820200727,1,All,9,12,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,0.7719230769230769,1.579237668161435,802.3448424048464,532.137518684604,0,0.0029157482107312585,20.07,1049.473335433365,0.01912387797038443
CA4104812343519990823_CA4107312329420080621_CA4119412345820200727,1,Any,9,12,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,8.985405405405405,79.6246616134272,706.2611918685324,159.17704385489984,16.549209453386343,0.13017958187911913,332.46,1049.473335433365,0.3167874673659197
CA4104812343519990823_CA4107312329420080621_CA4119412345820200727,1,Fire_a,9,12,CA4104812343519990823,1999,Klamath Mountains,Pacific Northwest,Low,2,5.7456,29.945977443609028,660.156969089953,193.81787802840438,3.9237591860768384,0.05111135098811265,143.64,1049.473335433365,0.13686865130373788
CA4104812343519990823_CA4107312329420080621_CA4119412345820200727,1,Fire_b,9,12,CA4107312329420080621,2008,Klamath Mountains,Pacific Northwest,Low,2,4.965428571428571,21.342584153288453,542.47662998308,218.53961677887105,3.276199669008609,0.035160493129406355,173.79,1049.473335433365,0.16559734690947236
CA4104812343519990823_CA4107312329420080621_CA4119412345820200727,1,Fire_c,9,12,CA4119412345820200727,2020,Klamath Mountains,Pacific Northwest,Low,2,5.329090909090909,26.70982599795292,606.0212249130072,205.39065165472536,6.6187870873567185,0.039791387346450116,175.85999999999999,1049.473335433365,0.16756976481673172
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,All,10,11,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,3.1114285714285717,49.77409090909091,803.8533856192779,258.49403122130394,8.464123889150564,0.05279305365524853,261.36,1854.7894698314176,0.1409108711533472
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,Any,10,11,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,48.186,928.7536384011954,781.7097242633802,86.37363549578716,401.8529416996293,0.611875373706511,1445.5800000000002,1854.7894698314176,0.7793768637965092
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,Fire_a,10,11,CA4104812343519990823,1999,Klamath Mountains,Pacific Northwest,Low,2,13.358823529411765,239.04316248348746,571.9046357512726,129.81065609863498,117.05171388338333,0.2108325534301975,681.3,1854.7894698314176,0.3673193163329332
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,Fire_b,10,11,CA4107012343620090702,2009,Klamath Mountains,Pacific Northwest,Low,2,13.81235294117647,281.68172863165967,586.4929330162278,147.77905540649888,61.35200152683973,0.23116370185073895,704.43,1854.7894698314176,0.3797897343378954
CA4104812343519990823_CA4107012343620090702_CA4119412345820200727,1,Fire_c,10,11,CA4119412345820200727,2020,Klamath Mountains,Pacific Northwest,Low,2,21.950625,667.4628094302554,565.3823786961548,132.62720309786167,137.15079576227177,0.44971141661474573,1053.63,1854.7894698314176,0.5680590800937451
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,All,14,7,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,8.025652173913043,108.9065675280351,691.1009193678907,175.84917926214854,17.75146380140476,0.05697631516889121,553.77,3574.643242481971,0.15491615874246029
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,Any,14,7,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,19.10938775510204,501.10559688581316,613.6051852165518,107.26643598615917,414.96232309239167,0.21717971482406348,1872.72,3574.643242481971,0.5238900424367161
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,Fire_a,14,7,CA4104812343519990823,1999,Klamath Mountains,Pacific Northwest,Low,2,12.78109756097561,245.04750966079865,541.3255638400266,123.1429798196651,251.74693069750677,0.13278527892210884,1048.05,3574.643242481971,0.2931900972787177
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,Fire_b,14,7,CA4103512348820130810,2013,Klamath Mountains,Pacific Northwest,Low,2,18.176538461538463,395.1563835459912,549.7384802146591,124.20914534797605,169.05257284195525,0.19001336746779585,1417.77,3574.643242481971,0.3966186004664354
CA4104812343519990823_CA4103512348820130810_CA4119412345820200727,1,Fire_c,14,7,CA4119412345820200727,2020,Klamath Mountains,Pacific Northwest,Low,2,11.569285714285714,145.5414521207631,606.5731139717634,150.64518120639624,75.97109295724846,0.07014406277531195,971.82,3574.643242481971,0.27186489226411287
